"Date & Time","use [kWh]","gen [kWh]","Register 1 [kWh]","Register 2 [kWh]","Register 3 [kWh]","Register 4 [kWh]","Register 5 [kWh]","Register 6 [kWh]","Register 7 [kWh]","Register 8 [kWh]","Register 9 [kWh]","Register 10 [kWh]","Register 11 [kWh]","Register 12 [kWh]","Solar [kWh]"
2018-12-19 12:00:00,13288441.396361665,706707.221401389,1273927.420209722,789268.879055556,1205489.071524722,1821827.649078056,925952.156463055,1506348.008538611,1332023.634339167,712340.877238333,896631.450756944,1024363.969206944,1025204.998322222,775063.281628333,706707.221401389
2018-12-18 12:00:00,13278341.720310834,706409.227184444,1272879.794169167,788458.640075000,1204447.711605000,1820653.698445556,925280.509231111,1505350.340927222,1331019.302714166,711710.134781111,895845.133208333,1023667.495725000,1024493.290436389,774535.668992778,706409.227184444
2018-12-17 12:00:00,13269010.571105278,705985.106915278,1271913.204815555,787776.704994722,1203488.697446944,1819594.754570833,924721.578134722,1504489.857787222,1330080.394704444,711115.317931944,895103.514957778,1022981.784503056,1023758.642419167,773986.118838889,705985.106915278
2018-12-16 12:00:00,13258556.972749999,705689.443700555,1270788.895063611,786890.907613889,1202335.475235278,1818367.255741111,924008.222487500,1503502.641314722,1329082.345274167,710467.116654167,894315.603590278,1022286.013613889,1023061.643151667,773450.853009722,705689.443700555
2018-12-15 12:00:00,13248699.718045278,705102.555632222,1269760.290381111,786117.322812778,1201296.808532778,1817211.729593889,923396.133634722,1502588.757089167,1328068.708651666,709823.269559167,893494.365510556,1021612.445150278,1022396.997831667,772932.889297500,705102.555632222
2018-12-14 12:00:00,13239715.752954167,704795.420371111,1268812.722583611,785446.054312500,1200342.656952222,1816200.627700278,922902.660099444,1501790.761860833,1327125.376839444,709270.893974722,892774.504732778,1020935.358662500,1021713.166841944,772400.968393889,704795.420371111
2018-12-13 12:00:00,13229497.313649999,704304.640668333,1267873.190654444,784817.709667778,1199438.403585833,1814844.317316111,922038.019584722,1500610.308020833,1326113.607174722,708634.157818055,891969.881080555,1020254.972052222,1021031.816804722,771870.929890000,704304.640668333
2018-12-12 12:00:00,13221966.356523333,703999.841590278,1267125.397702222,784372.740910000,1198729.073263055,1813894.667548889,921628.311490833,1499862.385401667,1325321.285825833,708245.831733611,891434.344688889,1019614.933980278,1020377.104014722,771360.279963333,703999.841590278
2018-12-11 12:00:00,13215504.839290556,703648.244737222,1266531.905345833,784097.783897500,1198186.826572222,1813018.996721944,921297.838958611,1499182.277018333,1324620.249943056,707920.246445000,890982.278952778,1018992.650905555,1019800.370540833,770873.413988889,703648.244737222
2018-12-10 12:00:00,13209462.480936387,702961.414600000,1265964.561205833,783860.618422778,1197672.967077500,1812201.888236667,921017.380123056,1498561.386343611,1323950.179668333,707613.562413611,890513.725307222,1018418.120593055,1019272.739286667,770415.352258055,702961.414600000
2018-12-09 12:00:00,13203761.080866110,702445.044354445,1265433.389413611,783657.118808333,1197186.985103611,1811401.666004167,920733.708845556,1497950.992662778,1323316.581280000,707340.936121944,890082.119251389,1017876.339475555,1018773.965007500,770007.278891667,702445.044354445
2018-12-08 12:00:00,13197172.052986109,702149.142386389,1264835.618248333,783370.120370000,1196609.748743055,1810539.747674722,920405.183357778,1497308.219437222,1322604.189168611,706894.752270278,889587.290748611,1017254.943640833,1018203.640355278,769558.598971389,702149.142386389
2018-12-07 12:00:00,13190695.030206665,702116.471388611,1264200.859528611,783063.220151944,1196023.365389167,1809684.195718611,920077.878371389,1496665.677215555,1321907.954723056,706522.631114166,889125.968025555,1016662.226135833,1017642.658431389,769118.395401389,702116.471388611
2018-12-06 12:00:00,13184005.711142498,702105.222526389,1263572.583061389,782756.923606111,1195467.061357222,1808742.809185000,919682.981855556,1495992.779367222,1321184.760551944,706211.237910000,888711.408069722,1016009.972313056,1017028.762207222,768644.431658056,702105.222526389
2018-12-05 12:00:00,13176729.358700556,701973.616819722,1262905.916738889,782426.069253333,1194874.364953889,1807706.706438889,919159.762251944,1495187.852561944,1320381.788024167,705844.972389444,888212.383215278,1015402.330591667,1016457.287279167,768169.925001944,701973.616819722
2018-12-04 12:00:00,13169928.283801943,701419.303341667,1262226.234679722,782066.446636944,1194247.004615833,1806773.401040000,918769.185944722,1494490.273632778,1319635.809432778,705508.640588889,887727.672287222,1014821.914317500,1015936.023942778,767725.676682778,701419.303341667
2018-12-03 12:00:00,13164312.319698609,700794.699507500,1261685.300183055,781843.878561389,1193740.213643333,1805973.310264444,918518.993533056,1493915.392196111,1318971.995526111,705278.945196111,887362.194794722,1014267.005421944,1015447.585318055,767307.505060278,700794.699507500
2018-12-02 12:00:00,13159236.262504998,700151.202551111,1261175.305343889,781659.100435000,1193290.766791389,1805238.122265278,918305.172648056,1493391.293343611,1318410.915528611,705085.512058333,887010.130076944,1013753.638146389,1014989.588812222,766926.717055278,700151.202551111
2018-12-01 12:00:00,13152361.326682776,699464.781499167,1260655.761584722,781463.109947778,1192833.253152222,1804141.101652222,917673.274520278,1492457.671227222,1317725.322543889,704707.081521111,886594.801025000,1013178.703283611,1014451.889645833,766479.356578889,699464.781499167
2018-11-30 12:00:00,13141016.619269444,699032.226358333,1259934.264653611,781063.293586389,1192159.141016111,1802218.296142500,916163.804688611,1490622.689973611,1316786.316313611,704113.933245278,885947.951161389,1012418.874397222,1013697.975811944,765890.078279167,699032.226358333
2018-11-29 12:00:00,13132572.057542221,698567.157535833,1259319.479926111,780797.401412778,1191627.914186944,1800843.529839722,915257.140105278,1489394.423346389,1315935.808551389,703732.106871111,885450.183759722,1011753.551022222,1013087.098136667,765373.420383889,698567.157535833
2018-11-28 12:00:00,13123809.846770832,698043.217045555,1258669.966498055,780464.745315000,1191033.247932222,1799475.568127778,914366.019997778,1488194.598194444,1315033.378373333,703182.013085000,884861.091481944,1011110.428570278,1012508.290170555,764910.499024444,698043.217045555
2018-11-27 12:00:00,13116859.986382499,697524.085003333,1258046.106264444,780174.374056389,1190455.968553056,1798469.140888611,913880.421199167,1487386.318701944,1314322.714938611,702779.182010278,884440.461446944,1010511.671653889,1011946.246616389,764447.380052778,697524.085003333
2018-11-26 12:00:00,13110721.751170278,696824.611845000,1257460.772724167,779906.191795278,1189919.190566389,1797638.327005278,913579.174883056,1486741.055558333,1313688.391298333,702397.047866389,884034.808313056,1009930.997491667,1011407.641507500,764018.152160833,696824.611845000
2018-11-25 12:00:00,13103765.553926110,696437.300519444,1256850.973545000,779604.754193056,1189366.403477222,1796586.688178056,913053.574957222,1485905.158478055,1313014.004489722,702054.648964167,883575.922718055,1009315.457718611,1010847.830852778,763590.136354167,696437.300519444
2018-11-24 12:00:00,13096266.817022777,695998.194941667,1256268.507702222,779337.536646111,1188837.198563055,1795404.528688333,912403.733198611,1484949.491221111,1312291.743631944,701573.531265000,883078.400521111,1008696.008715000,1010269.531920556,763156.604949722,695998.194941667
2018-11-23 12:00:00,13089243.142576110,695364.249386111,1255684.786249722,779074.899425000,1188300.385017778,1794406.939586111,911933.584515000,1484166.929348889,1311512.636507500,701111.683863611,882560.014187778,1008082.168524722,1009709.558737500,762699.556612500,695364.249386111
2018-11-22 12:00:00,13083728.560457222,695032.131810833,1255169.612040000,778889.968515000,1187845.507854444,1793630.558150555,911697.850292778,1483600.282883056,1310877.485733889,700864.060271667,882175.277522500,1007504.562087222,1009209.067060833,762264.328045278,695032.131810833
2018-11-21 12:00:00,13074827.828818610,694858.426916944,1254474.208677222,778516.196848889,1187198.243100000,1792330.751745555,910897.576131111,1482507.314706945,1310042.766452500,700317.337262500,881610.903048889,1006739.417388333,1008506.108411944,761687.005044722,694858.426916944
2018-11-20 12:00:00,13066820.299578610,694316.841116389,1253814.456969167,778159.641847778,1186589.942380555,1791193.163102500,910243.184600278,1481543.469918889,1309160.136136667,699903.526838055,881047.083903889,1006097.125005278,1007891.293278055,761177.275597500,694316.841116389
2018-11-19 12:00:00,13060767.977146110,694026.263938611,1253270.164998611,777936.987052222,1186096.371928611,1790374.198479444,909956.700733889,1480931.429506666,1308356.254705000,699623.070183611,880601.120955833,1005520.633536389,1007381.002175278,760720.042890555,694026.263938611
2018-11-18 12:00:00,13051720.824397776,693911.586795555,1252573.730878611,777548.937026111,1185431.984784722,1789044.271446389,909094.463275555,1479748.953563055,1307426.242168333,699090.095636111,879989.277601111,1004843.679595000,1006729.881242500,760199.307180278,693911.586795555
2018-11-17 12:00:00,13038727.410571945,693551.938015833,1251698.246830000,776962.491336111,1184558.113766389,1786894.530579444,907404.660740278,1477722.246845000,1306393.922623889,698256.595901667,879200.890451111,1004069.976037500,1005946.800792222,759618.934668333,693551.938015833
2018-11-16 12:00:00,13026027.140968055,692829.888269444,1250799.538746111,776351.842876389,1183654.421545833,1784955.199717778,905941.742383056,1475926.481669167,1305323.916168889,697413.102379167,878395.384483611,1003214.472987222,1005085.978013889,758965.059996944,692829.888269444
2018-11-15 12:00:00,13013422.341333611,692225.293405000,1249949.278833611,775792.888491667,1182801.440318055,1783014.842311944,904444.847512500,1474133.857805000,1304241.209850556,696517.650651111,877539.117895000,1002399.476490278,1004254.072811111,758333.658362778,692225.293405000
2018-11-14 12:00:00,13003247.140234165,691449.466682500,1249040.834789722,775186.031023333,1181866.933957778,1781719.560253333,903657.721467778,1473020.032933333,1303289.418413611,695850.707975833,876820.884123333,1001616.132761111,1003470.994130833,757707.888404167,691449.466682500
2018-11-13 12:00:00,12995626.270134999,690646.689587500,1248327.616421389,774796.302563056,1181179.004935278,1780827.895753333,903287.421427222,1472313.702203611,1302437.115640278,695414.374326667,876224.862028333,1000922.722750278,1002769.603764167,757125.648321389,690646.689587500
2018-11-12 12:00:00,12988617.223126945,690499.703156389,1247735.777320278,774518.874628333,1180613.460871111,1779912.586823889,902883.301559722,1471590.045900833,1301642.429191389,695029.074903333,875686.266413333,1000271.460042778,1002142.380680000,756591.564791944,690499.703156389
2018-11-11 12:00:00,12982092.860228331,690419.436663889,1247194.096900833,774272.235938611,1180082.761040556,1779010.904635000,902501.876020833,1470874.763462778,1300902.609771389,694735.338315555,875268.038380278,999625.482020278,1001539.629905000,756085.123837222,690419.436663889
2018-11-10 12:00:00,12975866.631593055,690204.601694722,1246672.763591111,774094.553293055,1179613.369822222,1778107.601354444,902139.830380833,1470162.457232500,1300177.955287222,694452.166615556,874853.273827222,999008.673253611,1000977.328399722,755606.658535555,690204.601694722
2018-11-09 12:00:00,12969934.168042777,689620.664580000,1246172.217327500,773937.647343611,1179166.142441389,1777267.421795833,901826.539373611,1469517.976536944,1299500.424382778,694193.620984722,874482.075568889,998380.987166111,1000373.553628055,755115.561493333,689620.664580000
2018-11-08 12:00:00,12962725.188875832,689472.592976111,1245633.093116667,773742.972581111,1178682.193783611,1776137.043825555,901218.914187222,1468602.862741667,1298733.717438889,693846.458129722,874037.634910555,997763.562654444,999708.453198889,754618.282307500,689472.592976111
2018-11-07 12:00:00,12953392.809984444,689133.568160000,1244880.481421667,773275.156773611,1177951.800543889,1774629.380154722,900235.490995000,1467327.767598889,1297941.144460000,693434.707968889,873525.264113055,997070.532260278,998997.608662222,754123.475032222,689133.568160000
2018-11-06 12:00:00,12944241.693701388,688845.943065556,1244114.340392222,772806.815874444,1177240.782592778,1773095.002410555,899211.188685555,1466002.747807778,1297241.890723889,693100.832829444,873105.583306389,996370.579946389,998324.168383055,753627.760748889,688845.943065556
2018-11-05 12:00:00,12937018.574445832,688448.916038333,1243344.668924167,772350.260354444,1176512.957173611,1772080.168291667,898742.404381389,1465209.030525278,1296592.749912778,692816.273900000,872723.742156111,995753.052599167,997735.038369722,753158.227857500,688448.916038333
2018-11-04 12:00:00,12929884.773134443,687904.616182778,1242599.546991944,771905.035284444,1175801.923086111,1771069.197798055,898319.754881667,1464456.927747500,1295870.266247222,692455.057148611,872313.912043333,995177.106555278,997192.579793611,752723.465556667,687904.616182778
2018-11-03 13:00:00,12921800.087804721,687217.064481111,1241896.087348889,771514.449690278,1175143.388217778,1769815.217316944,897607.899309444,1463421.065377500,1295176.565112778,691986.479962500,871838.551980556,994553.372187222,996571.663483889,752275.347816944,687217.064481111
2018-11-02 13:00:00,12913477.139040834,686471.115731667,1241270.876681111,771214.812200833,1174572.661343333,1768437.008950278,896751.829398889,1462273.295373889,1294494.030095555,691449.584168611,871385.861826389,993922.439672222,995894.188980833,751810.550348889,686471.115731667
2018-11-01 13:00:00,12903590.707930833,685721.409183611,1240360.785665278,770555.830561111,1173673.331848333,1766952.957728611,895759.308725833,1461040.398473333,1293776.674507778,690841.848981389,870905.278090556,993221.339873611,995177.816628889,751325.136846111,685721.409183611
2018-10-31 13:00:00,12895915.932148612,685328.584966944,1239548.302255278,770039.080072222,1172902.840664167,1765933.457618611,895284.145518889,1460246.363101667,1293121.710370833,690374.731604444,870465.371743889,992588.848770000,994540.847923056,750870.232505555,685328.584966944
2018-10-30 13:00:00,12887871.537001388,684814.059073611,1238744.129166944,769535.800517778,1172142.060548055,1764858.719443333,894722.690793611,1459406.157980278,1292417.247651111,689842.743229722,869970.901825555,991925.944752222,993903.368771667,750401.772321111,684814.059073611
2018-10-29 13:00:00,12881086.666486943,684242.304753333,1238142.507155000,769268.775810555,1171609.726795556,1763927.170787222,894328.330593333,1458730.326896944,1291723.658433611,689350.704732222,869494.728371667,991288.449530555,993285.066521389,749937.220858889,684242.304753333
2018-10-28 13:00:00,12873959.221382776,683510.169723611,1237430.740746111,768866.973878889,1170946.316465278,1762968.662630555,893915.593595278,1458037.738431389,1291072.405075278,688862.908100833,869057.991351111,990642.291886111,992675.953725833,749481.645496111,683510.169723611
2018-10-27 13:00:00,12866476.598409721,682761.714181667,1236751.057109722,768500.759477222,1170317.658054444,1761867.161686111,893336.585785000,1457126.561496389,1290306.962697500,688454.358289167,868641.709391944,990032.720007500,992109.651248889,749031.413165833,682761.714181667
2018-10-26 13:00:00,12860291.188713056,682027.515884722,1236186.052029167,768270.006903055,1169821.658916389,1760955.747624722,892945.122625000,1456396.422796389,1289632.424802500,688184.676709444,868256.274021667,989462.492496944,991583.552030278,748596.757757500,682027.515884722
2018-10-25 13:00:00,12853457.821087497,681516.313779167,1235556.748518889,767954.748611944,1169249.497520000,1759965.584139167,892496.603705833,1455598.500609722,1288940.960572778,687854.969200278,867837.087211389,988845.058789167,991014.331783611,748143.730424722,681516.313779167
2018-10-24 13:00:00,12845266.758530556,681454.796474444,1234774.434158611,767460.544585556,1168500.842485278,1758762.309463055,891798.133894444,1454602.821434444,1288227.113143055,687418.162382500,867364.007105278,988219.210562500,990452.130445000,747687.048870833,681454.796474444
2018-10-23 13:00:00,12838911.407686943,681224.601095278,1234217.551862222,767251.016077778,1167999.311921111,1757853.665151111,891437.900956389,1453896.461042778,1287512.676511111,687059.634801944,866928.139470556,987608.583466389,989892.385714722,747254.080710833,681224.601095278
2018-10-22 13:00:00,12832561.375433333,680989.815963055,1233733.979151389,767113.356686667,1167585.303480833,1756834.374734167,890947.112472222,1453060.684231667,1286817.288834167,686759.185168055,866527.706911111,987016.666488055,989340.315472222,746825.401802778,680989.815963055
2018-10-21 13:00:00,12824386.451998888,680393.286267500,1233127.915200833,766822.882697500,1167038.109225833,1755529.125700278,890142.392088889,1451959.409966111,1286061.169172222,686214.169566389,865991.801087222,986373.017838889,988749.612996667,746376.846458055,680393.286267500
2018-10-20 13:00:00,12815903.881876944,680050.026199167,1232511.366947222,766520.722710833,1166455.617549167,1754119.995737778,889206.055348055,1450740.763745278,1285355.193335278,685748.355286389,865514.325680833,985713.548762778,988115.876611111,745902.060162222,680050.026199167
2018-10-19 13:00:00,12807451.567538610,679899.786150000,1231893.840174444,766227.153320555,1165886.728738889,1752719.912696111,888309.795139444,1449524.517848611,1284645.321833889,685287.176041945,865052.018524722,985021.041127500,987479.575269722,745404.486822778,679899.786150000
2018-10-18 13:00:00,12801224.305024998,679817.901630556,1231314.525855000,765968.265599444,1165354.211314444,1751847.506853889,887972.816432222,1448868.670617500,1283970.494345278,684968.375079722,864653.927858611,984434.339823333,986916.908424444,744954.262821111,679817.901630556
2018-10-17 13:00:00,12794097.745836943,679720.907488333,1230725.708996389,765699.195671111,1164816.751025555,1750774.299528333,887419.730029166,1448023.863239166,1283264.254895278,684509.922423055,864228.773431944,983800.558317778,986326.122794722,744508.565484444,679720.907488333
2018-10-16 13:00:00,12786115.203714998,679599.461753889,1230053.511837778,765356.002920278,1164213.669418333,1749570.211975278,886724.729906667,1447027.876728611,1282450.659373889,684126.162251111,863742.451485555,983156.084347500,985696.064419444,743997.779050555,679599.461753889
2018-10-15 13:00:00,12779628.331821665,679539.552129167,1229431.637840000,765050.172915278,1163657.486009167,1748669.155180000,886369.887568333,1446336.243923333,1281738.312775833,683827.678555555,863333.176254167,982548.184515833,985126.467803889,743539.928480278,679539.552129167
2018-10-14 13:00:00,12771598.771001387,679119.396602778,1228432.668511944,764283.792488611,1162671.823915833,1747617.536493889,885841.883255000,1445495.591346111,1281088.368739722,683536.666597778,862932.194482222,981977.899681389,984597.503383333,743122.842105556,679119.396602778
2018-10-13 13:00:00,12763429.593001944,678456.383337500,1227349.268670278,763418.293983889,1161593.664681111,1746532.180720278,885284.053864444,1444631.486091944,1280496.982010555,683272.698084167,862529.322882500,981449.612592778,984122.152328611,742749.877091389,678456.383337500
2018-10-12 13:00:00,12755899.553313331,677955.406245278,1226384.645412778,762692.671694167,1160642.710010278,1745502.028886111,884791.391986944,1443817.712389444,1279933.277220278,683007.457541667,862134.895880833,980934.494736667,983662.805891389,742395.461662778,677955.406245278
2018-10-11 13:00:00,12747818.065648332,677390.864945000,1225460.574389444,762020.027661111,1159730.572608611,1744479.252781667,884277.131331667,1442987.444191111,1279245.767351666,682587.313728611,861675.396438056,980302.426490278,983085.141231944,741967.017444167,677390.864945000
2018-10-10 13:00:00,12738944.930211388,676568.803813333,1224376.720615278,761179.116130278,1158664.226167778,1743396.733062222,883716.121125556,1442122.046314445,1278539.640650555,682108.573988333,861192.319417778,979653.773411389,982464.242493889,741531.416833889,676568.803813333
2018-10-09 13:00:00,12728497.983481111,676278.192285556,1223364.741257778,760424.562760000,1157675.051067778,1742200.053335278,883036.047364722,1441133.744624722,1277382.944886667,681125.642389444,860214.155779444,979021.389637778,981831.088816667,741088.561560833,676278.192285556
2018-10-08 13:00:00,12716770.771496944,676103.509498333,1222166.175274444,759435.548542222,1156497.596406389,1740846.615964444,882158.605351944,1439956.030354722,1276140.361048333,680138.263763056,859190.190369722,978373.383995000,981222.573147222,740645.427279444,676103.509498333
2018-10-07 13:00:00,12706961.125314164,675658.591452778,1220832.839774722,758282.633692778,1155177.843043055,1739582.443227500,881395.780734722,1438848.590002778,1275494.143233889,679863.216687778,858784.807283056,977778.101196389,980694.775452222,740225.950985278,675658.591452778
2018-10-06 13:00:00,12698120.251889166,675076.175873333,1219671.423780278,757325.914131111,1154018.970385278,1738356.996294445,880679.449766667,1437783.041398611,1274927.850163333,679606.730428611,858388.357652222,977243.529295555,980236.208426666,739881.780166389,675076.175873333
2018-10-05 13:00:00,12688817.015325832,674506.287739167,1218602.926959722,756454.785321667,1152950.294033333,1737201.775518333,880015.983967222,1436779.441631944,1274053.355549167,679071.433520833,857716.532072222,976694.385096667,979772.958907500,739503.142747222,674506.287739167
2018-10-04 13:00:00,12678923.132083333,673771.199798889,1217487.510238333,755536.484051389,1151825.339673056,1735999.101698889,879287.550763611,1435732.570944166,1273110.009272778,678471.600266944,857042.944980000,976098.691575833,979242.344863055,739088.983755278,673771.199798889
2018-10-03 13:00:00,12667367.668926942,673100.045766667,1216611.886051389,754930.519491389,1150972.553227778,1734869.845434722,878652.042787222,1434780.347404444,1271342.676002500,676922.749534722,855433.765709167,975506.504096389,978672.602076666,738672.177110555,673100.045766667
2018-10-02 13:00:00,12657156.971479721,672442.837331944,1215548.419551111,754087.943823333,1149914.659381389,1733676.134071111,877929.796573889,1433724.157001666,1270187.845423889,676149.650546111,854553.056217500,974947.460171389,978166.548756667,738271.299961667,672442.837331944
