"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-29 23:55:00,196.675910000,-1.527266667,17.532806667,4.033960000,15.260406667,29.128830000,4.680596667,19.580260000,22.231263333,9.413113333,13.375300000,24.064710000,22.645576667,14.729086667,-1.527266667
2019-03-29 23:50:00,193.230316667,-1.556950000,18.785280000,4.466190000,15.818193333,29.227083333,5.071200000,19.824130000,23.807066667,10.790906667,14.597786667,19.782616667,19.430153333,11.629710000,-1.556950000
2019-03-29 23:45:00,200.095543333,-1.565503333,22.023840000,8.241273333,19.459840000,28.722313333,5.075810000,19.730350000,22.601766667,9.353496667,13.393430000,19.266066667,19.836053333,12.391303333,-1.565503333
2019-03-29 23:40:00,198.485956667,-1.548126667,19.413530000,5.414766667,16.658910000,29.575403333,5.526550000,19.989763333,22.351436667,9.184053333,13.467803333,21.105130000,21.501170000,14.297440000,-1.548126667
2019-03-29 23:35:00,200.956530000,-1.557540000,19.563686667,4.922116667,16.071310000,30.879206667,5.562093333,20.372056667,22.357836667,8.974403333,13.595960000,21.979190000,21.873146667,14.805523333,-1.557540000
2019-03-29 23:30:00,193.618386667,-1.562400000,19.484016667,5.213330000,16.361710000,30.732503333,5.152726667,20.413833333,22.988540000,9.350313333,13.612986667,19.384783333,19.210846667,11.712796667,-1.562400000
2019-03-29 23:25:00,194.931526667,-1.556410000,18.867806667,4.110693333,15.707566667,30.700776667,5.253296667,20.424100000,22.506113333,8.933986667,14.113300000,20.593003333,20.559686667,13.161196667,-1.556410000
2019-03-29 23:20:00,195.467100000,-1.557810000,18.018830000,4.169516667,15.733930000,30.865803333,5.565023333,20.798666667,21.306826667,7.995373333,13.539813333,21.263300000,21.832393333,14.377623333,-1.557810000
2019-03-29 23:15:00,198.436666667,-1.561113333,17.439323333,3.882260000,14.948783333,30.885320000,6.028466667,20.839526667,21.854043333,8.617303333,14.014530000,20.586683333,24.078463333,15.261963333,-1.561113333
2019-03-29 23:10:00,193.520116667,-1.566040000,18.140993333,4.101246667,15.222263333,30.667066667,6.005323333,20.384080000,22.208873333,8.653860000,13.998720000,18.774036667,21.834810000,13.528843333,-1.566040000
2019-03-29 23:05:00,210.665243333,-1.557620000,18.125163333,4.436913333,15.290043333,29.459370000,5.356553333,20.147326667,23.330440000,10.011586667,15.181623333,23.637026667,27.538420000,18.150776667,-1.557620000
2019-03-29 23:00:00,210.214110000,-1.553743333,22.220100000,8.501033333,18.788483333,29.205923333,4.818243333,20.023383333,21.770783333,8.662686667,14.109486667,21.746720000,24.895666667,15.471600000,-1.553743333
2019-03-29 22:55:00,214.694626667,-1.565693333,21.952316667,7.469556667,17.791780000,29.496526667,5.186383333,20.140053333,23.629413333,10.627983333,15.252700000,21.920370000,22.568900000,18.658643333,-1.565693333
2019-03-29 22:50:00,197.104753333,-1.565820000,20.614396667,5.259156667,16.002886667,29.576330000,5.162223333,19.974466667,23.384356667,9.930380000,14.060960000,18.849610000,19.750386667,14.539600000,-1.565820000
2019-03-29 22:45:00,204.405463333,-1.565313333,20.723303333,5.534180000,16.253013333,30.719166667,6.722923333,21.434590000,24.364126667,11.166670000,15.428826667,19.475123333,20.014073333,12.569466667,-1.565313333
2019-03-29 22:40:00,207.947576667,-1.556163333,18.892993333,4.760306667,16.129156667,31.485103333,7.400710000,21.791016667,24.568883333,11.563636667,15.830636667,20.442960000,21.370500000,13.711673333,-1.556163333
2019-03-29 22:35:00,213.417396667,-1.561373333,18.841850000,4.561383333,15.691986667,32.730853333,8.061280000,22.203000000,24.549486667,11.605240000,16.009703333,21.976053333,22.503836667,14.682723333,-1.561373333
2019-03-29 22:30:00,207.747396667,-1.563716667,20.462263333,6.297246667,17.575533333,31.554633333,6.126256667,21.208503333,25.253900000,12.067530000,16.117773333,19.312983333,19.854813333,11.915960000,-1.563716667
2019-03-29 22:25:00,207.895533333,-1.561680000,18.494743333,4.720840000,15.710360000,32.326906667,6.682226667,21.619046667,25.342513333,12.085123333,16.708906667,20.263310000,20.797253333,13.144303333,-1.561680000
2019-03-29 22:20:00,208.682823333,-1.560313333,20.227346667,6.216993333,17.355086667,31.324746667,5.494890000,20.483776667,23.932850000,10.867913333,16.173880000,20.954723333,21.584580000,14.066036667,-1.560313333
2019-03-29 22:15:00,214.164960000,-1.556730000,21.325456667,8.235340000,19.275903333,31.176566667,6.186040000,20.708403333,23.304466667,10.173446667,15.489696667,21.653763333,21.978063333,14.657813333,-1.556730000
2019-03-29 22:10:00,195.789636667,-1.562430000,18.333466667,4.601770000,15.833030000,30.728616667,5.939053333,20.177640000,24.085433333,11.056886667,16.409073333,18.918170000,18.509806667,11.196690000,-1.562430000
2019-03-29 22:05:00,200.849346667,-1.558666667,17.732023333,3.965703333,15.121460000,29.836026667,5.537930000,19.940783333,25.170493333,11.637246667,16.540363333,21.677266667,20.724493333,12.965556667,-1.558666667
2019-03-29 22:00:00,201.919530000,-1.560926667,18.527693333,5.009056667,16.230240000,29.911410000,5.682173333,20.513286667,22.804583333,9.478856667,14.846796667,22.969010000,21.604003333,14.342420000,-1.560926667
2019-03-29 21:55:00,219.506576667,-1.553206667,19.908393333,5.833326667,16.699373333,29.460753333,5.171496667,19.812753333,24.537780000,11.523666667,16.068996667,27.279056667,25.701626667,17.509353333,-1.553206667
2019-03-29 21:50:00,204.137070000,-1.549403333,18.751073333,5.033213333,15.410850000,29.861930000,5.771333333,20.657610000,25.115643333,12.121033333,16.350166667,22.229123333,20.409756667,12.425336667,-1.549403333
2019-03-29 21:45:00,206.697010000,-1.549093333,19.595606667,4.838573333,15.646190000,30.036116667,6.179733333,20.324416667,25.248516667,12.300150000,16.553590000,22.705190000,20.570890000,12.698036667,-1.549093333
2019-03-29 21:40:00,221.547460000,-1.554993333,19.911520000,5.558170000,16.652613333,34.781763333,10.000386667,22.206743333,24.783960000,11.802790000,15.959570000,23.931253333,21.965163333,13.993526667,-1.554993333
2019-03-29 21:35:00,235.219253333,-1.549506667,23.328346667,9.851363333,20.362086667,35.880966667,8.480533333,23.004506667,25.324843333,12.430940000,16.701796667,23.260890000,22.023463333,14.569516667,-1.549506667
2019-03-29 21:30:00,211.377933333,-1.550056667,20.196796667,6.312696667,16.865290000,36.793486667,8.332336667,23.209856667,23.005843333,9.936206667,14.132700000,20.859713333,19.592623333,12.140383333,-1.550056667
2019-03-29 21:25:00,211.383880000,-1.546156667,19.169386667,5.525686667,16.151600000,37.107856667,8.661173333,23.315570000,23.018543333,10.008950000,14.828560000,20.670033333,20.776016667,12.150503333,-1.546156667
2019-03-29 21:20:00,214.384350000,-1.550763333,19.738710000,6.222136667,16.335673333,36.784206667,8.419740000,23.286503333,21.118970000,8.004733333,13.341773333,21.925740000,25.491656667,13.714506667,-1.550763333
