"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-26 21:55:00,239.655026667,-1.556463333,18.491620000,5.609463333,16.649246667,35.956656667,11.348340000,23.409536667,22.379506667,21.510223333,13.715410000,27.274710000,27.256526667,16.053786667,-1.556463333
2019-03-26 21:50:00,237.013523333,-1.553266667,18.346563333,5.298493333,16.782363333,36.469363333,12.649136667,24.859016667,23.905943333,23.163496667,15.365316667,23.978646667,23.482816667,12.712366667,-1.553266667
2019-03-26 21:45:00,242.529103333,-1.556490000,18.400540000,5.152336667,16.690993333,38.315283333,15.171486667,27.087903333,23.346496667,22.525830000,13.973250000,24.357610000,23.973466667,13.533906667,-1.556490000
2019-03-26 21:40:00,245.546490000,-1.558373333,18.560326667,5.305436667,16.536393333,38.431050000,15.408463333,27.094270000,23.400693333,22.442523333,13.914440000,24.968276667,25.024843333,14.459773333,-1.558373333
2019-03-26 21:35:00,247.271480000,-1.555456667,18.414123333,5.044256667,16.500853333,37.010140000,13.824333333,25.877580000,24.022633333,22.905920000,14.467076667,26.444010000,26.694406667,16.066146667,-1.555456667
2019-03-26 21:30:00,237.403993333,-1.552830000,19.701933333,6.999263333,18.172270000,34.391333333,10.767856667,23.171386667,24.673273333,23.539283333,14.885736667,23.923760000,24.219583333,12.958313333,-1.552830000
2019-03-26 21:25:00,236.761946667,-1.552870000,20.196470000,8.199283333,19.499420000,34.629553333,10.997456667,23.157770000,23.809126667,22.385606667,13.903540000,23.755486667,23.334486667,12.893746667,-1.552870000
2019-03-26 21:20:00,252.778003333,-1.554146667,17.892490000,5.797976667,16.485703333,34.497423333,10.903653333,23.062730000,26.207390000,24.611230000,16.635370000,29.182386667,29.011683333,18.489966667,-1.554146667
2019-03-26 21:15:00,251.030126667,-1.544776667,18.542910000,5.666070000,16.286776667,35.431013333,11.498733333,23.385193333,26.954546667,25.353893333,18.183190000,25.696990000,27.736493333,16.294316667,-1.544776667
2019-03-26 21:10:00,240.085133333,-1.546630000,18.286603333,5.031350000,16.134520000,36.431560000,11.780573333,23.439523333,25.848553333,24.160223333,17.261546667,22.439260000,25.650546667,13.620873333,-1.546630000
2019-03-26 21:05:00,243.347873333,-1.547060000,20.039963333,6.386006667,16.901906667,36.590140000,11.886723333,23.479286667,22.755113333,21.417520000,14.036703333,24.249430000,30.719943333,14.885136667,-1.547060000
2019-03-26 21:00:00,253.327473333,-1.544170000,20.635163333,6.827273333,17.322900000,36.144076667,11.111223333,23.465080000,24.121500000,22.911530000,15.369726667,27.963606667,30.275136667,17.180256667,-1.544170000
2019-03-26 20:55:00,249.931986667,-1.547230000,21.017616667,7.782206667,17.460620000,36.536750000,11.594700000,23.865746667,23.529976667,22.901866667,14.041556667,28.389710000,27.068556667,15.742680000,-1.547230000
2019-03-26 20:50:00,251.433396667,-1.545663333,22.620940000,7.891036667,17.854083333,39.574016667,14.741916667,26.899056667,23.113296667,22.883163333,13.875166667,25.301506667,24.060563333,12.618650000,-1.545663333
2019-03-26 20:45:00,264.100840000,-1.545076667,22.423753333,9.934646667,20.359633333,39.612376667,15.692213333,27.367163333,24.291186667,24.267243333,15.244736667,24.744203333,23.815370000,16.348313333,-1.545076667
2019-03-26 20:40:00,262.163410000,-1.540956667,20.196796667,8.276210000,19.010256667,38.201050000,15.319630000,26.907323333,22.974870000,22.494136667,13.841386667,26.418130000,29.159580000,19.364040000,-1.540956667
2019-03-26 20:35:00,248.702363333,-1.548223333,17.444033333,4.908073333,16.453103333,35.273030000,12.511190000,23.938193333,22.871306667,22.491366667,13.774576667,27.407796667,31.593430000,20.036263333,-1.548223333
